2026-07-29T16:43:29 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=30b3da53-441b-41a7-9266-2feba0cb4680", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T16:43:31 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=30b3da53-441b-41a7-9266-2feba0cb4680", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T16:43:33 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=30b3da53-441b-41a7-9266-2feba0cb4680", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T16:43:35 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=30b3da53-441b-41a7-9266-2feba0cb4680", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T16:43:37 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=30b3da53-441b-41a7-9266-2feba0cb4680", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T16:43:39 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T16:43:39 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=userQuery status=200
2026-07-29T16:43:41 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T16:43:42 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=LayoutMobileQuery status=200
2026-07-29T16:43:42 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=LayoutBannersQuery status=200
