2026-07-01T12:11:21 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:23 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:25 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:27 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:29 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:32 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:34 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:36 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:38 | INFO     | coinbase_webkit:001:1e766864 | iOS-DOM probe: {"url": "https://login.coinbase.com/signin?client_id=258660e1-9cfe-4202-9eda-d3beedb3e118&oauth_challenge=4e3dfb58-4416-40c7-bdea-33568b65c523", "path": "/signin", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-01T12:11:39 | INFO     | coinbase_webkit:001:1e766864 | wrote manifest -> logs/coinbase_webkit/001/1e766864/manifest.json
2026-07-01T12:11:39 | INFO     | coinbase_webkit:001:1e766864 | saved storage state -> .context/coinbase_webkit/user/001/state.json
