2026-07-29T17:09:28 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:30 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:32 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCreateSendV2Mutation status=200
2026-07-29T17:09:32 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:35 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:36 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCreateSendV2Mutation status=200
2026-07-29T17:09:36 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=SendAIBUpsellQuery status=200
2026-07-29T17:09:36 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=SendPreviewQuery status=200
2026-07-29T17:09:36 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=SendAIBUpsellQuery status=200
2026-07-29T17:09:37 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:39 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:41 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:41 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCommitSendMutation status=200
2026-07-29T17:09:42 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useSendStatusQuery status=200
2026-07-29T17:09:42 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=TransactionDetailsStepQuery status=200
2026-07-29T17:09:43 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:43 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useP2PNudgeCardContentQuery status=200
2026-07-29T17:09:45 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:48 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:49 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=BuyInputScreenQuery status=200
2026-07-29T17:09:49 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=BuyInputScreenQuery status=200
2026-07-29T17:09:50 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=SystemAlertWithWaterfallQuery status=200
2026-07-29T17:09:50 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useGetAIBUpsellsContentfulDataPreloadQuery status=200
2026-07-29T17:09:50 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:50 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=BuyInputScreenQuery status=200
2026-07-29T17:09:50 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useQueryIncentivesQuery status=200
2026-07-29T17:09:50 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useGetAIBUpsellsContentfulDataPreloadQuery status=200
2026-07-29T17:09:52 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:54 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:55 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=BuyPreviewStepV2Query status=200
2026-07-29T17:09:55 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCreateBuyV2Mutation status=200
2026-07-29T17:09:56 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePreCheckPayinRiskMutation status=200
2026-07-29T17:09:56 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useNotificationTriggerEventMutation status=200
2026-07-29T17:09:56 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useGenerateWorldpayClientTokenMutation status=200
2026-07-29T17:09:56 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:59 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:09:59 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCreateBuyV2Mutation status=200
2026-07-29T17:10:01 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:10:03 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCreateBuyV2Mutation status=200
2026-07-29T17:10:03 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:10:05 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:10:07 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCreateBuyV2Mutation status=200
