2026-07-29T19:06:45 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=usePaymentMethodsQuery status=200
2026-07-29T19:06:46 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T19:06:48 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T19:06:50 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T19:06:50 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=MobileMenuContainerQuery status=200
2026-07-29T19:06:51 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SubscriptionQuery status=200
2026-07-29T19:06:52 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SubscriptionSignupQuery status=200
2026-07-29T19:06:52 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=usePaymentMethodsQuery status=200
2026-07-29T19:06:52 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useUserPerformanceSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useLiveResourcePriceSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useUserPerformanceSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useUserCefiBalancesSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useSimpleCryptoPositionAndBalanceSubscription (status=200)
2026-07-29T19:06:53 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=useSimpleCashPositionAndBalanceSubscription (status=200)
2026-07-29T19:06:54 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=LayoutBannersQuery status=200
2026-07-29T19:06:54 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=LayoutMobileQuery status=200
2026-07-29T19:06:54 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useEffectiveSkipOpenOrdersQuery status=200
