2026-07-29T19:14:43 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useHasBtcLightningSupportQuery status=200
2026-07-29T19:14:44 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useWarmSardineRiskEvaluationMutation status=200
2026-07-29T19:14:44 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T19:14:44 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=usePaymentMethodsQuery status=200
2026-07-29T19:14:45 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useExpandRecipientSharedQuery status=200
2026-07-29T19:14:45 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:14:45 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=SendRefetchableQuery status=200
2026-07-29T19:14:47 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=SendRefetchableQuery status=200
2026-07-29T19:14:47 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useCurrencyConverterQuery status=200
2026-07-29T19:14:47 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=TravelRulePrefillQuery status=200
2026-07-29T19:14:47 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=SystemAlertWithWaterfallQuery status=200
2026-07-29T19:14:47 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:14:49 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:14:51 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useCreateSendV2Mutation status=200
2026-07-29T19:14:52 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:14:54 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:14:56 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:14:58 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:00 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:02 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:04 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useCreateSendV2Mutation status=200
2026-07-29T19:15:04 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:06 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:08 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:10 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:13 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:15 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:17 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:18 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useCreateSendV2Mutation status=200
2026-07-29T19:15:19 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=SendPreviewQuery status=200
2026-07-29T19:15:19 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=SendAIBUpsellQuery status=200
2026-07-29T19:15:19 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:21 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:22 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useCommitSendMutation status=200
2026-07-29T19:15:23 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useSendStatusQuery status=200
2026-07-29T19:15:23 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=TransactionDetailsStepQuery status=200
2026-07-29T19:15:23 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:24 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL captured op=useP2PNudgeCardContentQuery status=200
2026-07-29T19:15:25 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:27 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:29 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:31 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:33 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:36 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:38 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:40 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:42 | INFO     | coinbase_webkit:001:d678e94f | iOS-DOM probe: {"url": "https://www.coinbase.com/trade", "path": "/trade", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:15:43 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=LeaderboardCellSubscriptionSubscription (status=200)
2026-07-29T19:15:43 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=LeaderboardCellSubscriptionSubscription (status=200)
2026-07-29T19:15:43 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=LeaderboardCellSubscriptionSubscription (status=200)
2026-07-29T19:15:43 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=LeaderboardCellSubscriptionSubscription (status=200)
2026-07-29T19:15:43 | WARNING  | coinbase_webkit:001:d678e94f | GraphQL response body unavailable for https://www.coinbase.com/graphql/query?&operationName=LeaderboardCellSubscriptionSubscription (status=200)
2026-07-29T19:15:43 | INFO     | coinbase_webkit:001:d678e94f | wrote manifest -> logs/coinbase_webkit/001/d678e94f/manifest.json
2026-07-29T19:15:43 | INFO     | coinbase_webkit:001:d678e94f | saved storage state -> .context/coinbase_webkit/user/001/state.json
